Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.wellness-vybaveni.cz/bidety/1215-zavesny-bidet-mocoori-54x36x375cm-4000104-9111577666269.html
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Page;No;https://www.wellness-vybaveni.cz/bidety/1215-zavesny-bidet-mocoori-54x36x375cm-4000104-9111577666269.html
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.levnevirivky.cz/virivky-spa-whirlpool/3846-eo-spa-in-105-sterling-silver-seda-195x195cm-extremni-izolace-3414377217263.html
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Page;No;https://www.levnevirivky.cz/virivky-spa-whirlpool/3846-eo-spa-in-105-sterling-silver-seda-195x195cm-extremni-izolace-3414377217263.html
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.wellness-koupelna.cz/parni-sprchove-boxy/3077-parni-box-eago-dz1007f12r-s-vanickou-prava-bila-verze-120x90x215cm-4361577223261.html
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Page;No;https://www.wellness-koupelna.cz/parni-sprchove-boxy/3077-parni-box-eago-dz1007f12r-s-vanickou-prava-bila-verze-120x90x215cm-4361577223261.html
Rezervováno ještě 19:36;;Misdirection;Pressured selling;Cart Page;No;https://www.mall.cz/kosik?c=1
Rezervace skončila – objednejte ihned;;Misdirection;Pressured selling;Cart Page;No;https://www.mall.cz/kosik?c=1
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.hydromasaznivany.cz/hydromasazni-vany/2695-hydromasazni-vana-mocoori-lotus-180x120x755cm-cerpadlo-vodavzduch-9231577111264.html
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Page;No;https://www.hydromasaznivany.cz/hydromasazni-vany/2695-hydromasazni-vana-mocoori-lotus-180x120x755cm-cerpadlo-vodavzduch-9231577111264.html
Limitovaná speciální nabídka;No deadline;Urgency;Limited-time Message;Product Page;Yes;https://www.sprchove-kouty-parni-boxy.cz/sprchove-masazni-boxy/381-sprchovy-masazni-box-eago-d989-s-vanickou-prava-verze-100x100x235-4401577310268.html
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Page;No;https://www.sprchove-kouty-parni-boxy.cz/sprchove-masazni-boxy/381-sprchovy-masazni-box-eago-d989-s-vanickou-prava-verze-100x100x235-4401577310268.html
NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Page;No;https://grossmann-matrace.cz/antibakterialni-matrace-sasa-do-120-kg/
Souhlasím s obchodními podmínkami a zpracováním osobních údajů.;;Forced Action;Forced Enrollment;Terms of trade page;No;https://grossmann-matrace.cz/obchodni-podminky/
Méně než 4 ks;Not deceptive, because the stock shrank over time.;Scarcity;Low-stock Message;Product Page;No;https://www.bikeranch.cz/giro-prilba-register-mips-highlight-yellow
Poslední kus;Not deceptive, because the stock shrank over time.;Scarcity;Low-stock Message;Product Page;No;https://www.bikeranch.cz/giro-prilba-register-mips-highlight-yellow
CENA DNES;Discount for more than a day;Urgency;Limited-time Message;Product Page;Yes;https://fitanu.com/cz/d-msk-obuv-rs-fast-pop-wn-s-puma-37513502-puma-4063697673366
Internetový obchod automaticky neshromažďuje žádné údaje, s výjimkou údajů obsažených v souborech cookies při používání webu. Procházením webových stránek souhlasíte s používáním souborů cookies. Další informace o souborech cookies, údaji obsažených v nich a jejich funkcích naleznete v sekci Politika cookies. Zde se můžete dozvědět, jak zakázat soubory cookies používané v internetovém obchodě v nastavení prohlížeče.;Long text to read. Rather skip;Misdirection;Visual Interference;Product Page;No;https://fitanu.com/cz/d-msk-obuv-rs-fast-pop-wn-s-puma-37513502-puma-4063697673366
Doporučená maloobchodní cena;Might not be a discount;Misdirection;Visual Interference;Product Page;No;https://fitanu.com/cz/d-msk-obuv-rs-fast-pop-wn-s-puma-37513502-puma-4063697673366
RRP;Might not be a discount;Misdirection;Visual Interference;Product Page;No;https://fitanu.com/cz/d-msk-obuv-rs-fast-pop-wn-s-puma-37513502-puma-4063697673366
Pokud objednáte ještě zboží za dalších 1 500 Kč, budete mít dopravu zdarma!;;Misdirection;Pressured selling;Cart Page;No;http://www.silic.cz/index.php?route=checkout/cart
Nakupte ještě za 1 210,00 Kč abyste měli dopravu i platbu zdarma.	;;Misdirection;Pressured selling;Cart Page;No;https://grossmann-matrace.cz/nakupni-kosik/
11 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.oksport.eu/oksport/eshop/0/0/5/7733-Panske-zimni-cyklisticke-kalhoty-s-cyklovlozkou-Rapone-Pad-MP1737-cerne
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nezestarni.cz/obchod/ziva-voda-kolagenovy-sprej-na-oblicej-a-telo--s-zivym-kolagenem-kyselinou-hyaluronovou-a-vytazky-ovoce-noni-100-50-ml-zdarma-triple-helix-formula.html
983 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.mpmobility.cz/Bezdratova-nabijecka-Compatible-2A-kabel-micro-USB-www.masovegranule.cz
673 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.masovegranule.cz/114389-eden-kocka-country-1-5-kg.html
309 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.spokojenydomecek.cz/Stan-teepee-pro-deti-se-zviratky-sedo-ruzovy-d125.htm
3 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.mandarinka.cz/Nausnice-Motylek-ruzove-ny1074-chirurgicka-ocel-d2664.htm
5 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.prehozydeky.cz/luxusni-spanelska-deka-mikroplys-prehoz-na-postel-220-x-240-2/
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.jlp-shop.cz/domaci-seno-s-jablkem-a-repou-50l/
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.obalis.cz/papirove-tasky/papirova-taska-hneda-s-kroucenym-uchem-18x8x24-cm/
3 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.lumi-latky.cz/panel-teplakovina-modalova-cloudy-sky-by-lycklig-design/
803 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.lepsicigareta.cz/bateriove-gripy-c70/ismoka-eleaf-isolo-r-30w-grip-sada-1800mah-modra-i2376/
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.candlehome.cz/mf-natural-difuzer-250ml-lemon-grass-10-18-03-19-10-19-06-20-04-21/
68 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.lovecka-optika.cz/puskohled-meopta-meostar-r1r-3-12x56-rd/
1 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.gigaeshop.cz/DAMSKY-PARALYZER-S-LED-SVITILNOU-ANGELA-M-500-d54.htm
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.polarshop.cz/polar-vantage-v2-hr-cycling-bundle/
96 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://eshop.vinoarchiv.cz/viognier-2018-mzv-polosuche-0-75-l-vinarstvi-vymola/
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.muj-homedics.cz/homedics-masazni-pristroje/homedics-masazni-pristroje-masaze-nohou/bublinkova-masaz-fs150-homedics
8 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.polskeknihy.cz/polska-soucasna-literatura/to-nie-jest-raj/
8 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.wux-naramky.cz/minimalisticky-macrame/minimalisticky-cerny--naramek-se-zlatym-koralkem/
107 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.beautyczech.cz/jednorazove-prosteradlo-vlaknina-quickepil-60cm-x-80m/
464 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.potreby-rybarske.cz/produkt/mivardi-stojan-tripod-premium-zdarma-2x-sounder-easy-camo-a-2x-swingarm-no-130/
274 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.muj-scholl.cz/detska-obuv-scholl/detska-zdravotni-obuv/detske-pantofle-scholl/scholl-air-bag-kid-dark-brown-hneda-fwww.lkbaits.cz
31 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.lkbaits.cz/lk-baits-nutrigo-extra-wild-strawberry-100-ml-20-mm/
774 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.quadpoint.cz/Banjo-sroub-POWERHOSEPLUS-110100DC-10x1-00mm-chrom-d1734.htm
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.intimity.cz/eshop/pro-muze/prislusenstvi/724/dvd-julie-gaia-poupetova-cesta-k-zenskemu-orgasmu
93 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.zahradadarios.cz/cz-detail-554094-zabradlove-madlo-nextwood-olse.html
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.rainbowloom-original.cz/galerie
22 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.emie.cz/kuchynske-roboty/sogo-ss-14565-easycook-pro/
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nejlevnejsi-kamna.cz/krbova-kamna-prity-s-troubou-s-tv-fgw15/
46 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://armywear.cz/detail-zbozi/vojenska-maceta-taifun-s-nylonovym-pouzdrem-27068.html
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.drvet.cz/audevard/balsamic-control/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.wckomfort.cz/elektronicke-bidety/10-elektronicky-bidet-wc-komfort-yb-770.html
9 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.eniwine.cz/extra-panensky-olivovy-olej/extra-virgin-olivovy-olej-bazalka/
140 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.faunavitalita.cz/endoparazin/
32 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nehty-profesional.cz/britva-s-vymennym-ostrim-parker-shavette-31r-barber-razor/
62 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.liliput.cz/parni-stroj-s-kotlem-na-vysku-d3-0354.html
669 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.samolepky-steny.cz/dekorace-na-zed--citat-before-you,688.html
164 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.vino-mosela.cz/bio-vegan-mueller-thurgau-polosuche-p-413.html
3 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.hair-cosmetics.cz/babyliss-pro-2191sepe-ultrasonic-cool-mist-profesionalni-ultrazvukova-parni-zehlicka-na-vlasy-265199.html
38 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nabytek-alfa.cz/rohove-sedaci-soupravy/rohova-sedacka-lora/
13 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://pluton-elektro.cz/inverto-black-pro-quad-monoblock/
26 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.mywhitesecret.cz/bambusovy-zubni-kartacek/
145 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.cukrarskenacini.cz/krabice-na-vino-8-8-34-5-cm-hneda-na-1-lahev-0-75-l/
34 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://4beautysystem.cz/vodolepky-na-zdobeni-nehtu-velky-list-12-7-x-5-5cm-hot-173/
355 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.berem.cz/respirator-ffp3-1ks-covid-face-mask/
16 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.bewoman.cz/toaletni-stolek-emma-3-zrcadla-4-zasuvky-taburet/
638 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.cool-ceny.cz/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-www.enjoythemovement.cz
612 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.enjoythemovement.cz/knizka-taryho-svet-naramek-zdarma/
511 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.dtbaits.cz/Bivaky-Pristresky-c16_0_1.htm
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.medicinaintim.cz/zdravotnicke-rukavice/bezprasne-vysetrovaci-rukavice-nitrilove--bile--200-kusu--velikost-s/
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.abaterie.cz/dalkove-ovladane-zasuvky-geti-3-1-bezdratove/
151 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.hillee.cz/produkt/nausnice-se-znamenim-zverokruhu/
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.drevenebrikety.eu/drevene-pelety/pelety-a1/
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.muj-salter.cz/salter-osobni-vahy/salter-osobni-vahy-digitalni/9069-bk3r-tenka-osobni-vaha-cerna
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.mpneu.cz/dunlop_sp_sport_bluresponse/
54 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.obchodben.cz/voditko-hkm-multicolor-s-hackovou-karabinou-1-8m/
56 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://koicentrumpraha.cz/pvc-priruba-foliova-50-mm-foliovy-prostup-zesileny/
11 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.klubsoft.cz/panska-tricka-s-kratkym-rukavem/tricko-zralok-3d/
167 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.new-you-mode.cz/https/www-new-you-mode-cz/figl-damske-asymetricke-saty-m394-cerna-d148-htm
84 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.panhoubicka.cz/nano-houbicky/nano-houbicky-10-ks-2/
5 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.activeanimal.cz/zbozi/aa/kloubni-vyziva/14-sada-navazenych-surovin-pro-kloubni-vyzivu-psu-a-kocek---500g/
338 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.cigareta-shop.cz/serzant-chesecake-s-jahodovo-malinovym-topingem-monkey-shake-vape-12ml/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.krasnevune.cz/saphir-perfect-man-parfemovana-voda-pro-muze/
22 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.badbadger.cz/myslivecka/myslivecke-tricko-anglicky-springerspanel/
703 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.haka.cz/eshop/zazimovavi-prostredek-1-l-pro-20m3/
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.b-obchod.cz/papirove-sablony-magic-vyrez-sada-q1-geometrik/
1 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.azsamolepky.cz/samolepky-na-zed-kolekce-krasobruslarek/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.oopp.cz/pracovni-obuv-vm-bogota-o2-src-fo-celokozena-s-membranou-poloholenova-3876.html
15 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://leons.cz/blog/
19 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.maxi-truhlarstvi.cz/zahradni-bila-lavice/
18 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nehtyeshop.cz/kosmeticky-stolek-310-pravy-bily/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.prirodni-leciva.cz/Zakazane-zdravi-A-L-Kalcker-SKLADEM-d21893.htm
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.latky-eshop.cz/latky/respirator-ffp-2-bez-vydechoveho-ventilku/
14 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://hmfashion.cz/damske-mikiny/2019-cerna-mikina-guess-phylicia-rhineston-logo-vel-xssmlxl-.html
148 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.unibazar.com/sablony-na-zdobeni-kavy-12cm-3ks-nerez/
449 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.renovality.cz/doplnky-stravy/renohair-maximal-90-tablet-doplnek-stravy/
38 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.pro-trampoline.eu/cz-detail-183778-montaz-trampoliny.html
159 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.kuppostel.cz/klein-design-eu/eshop/5-1-Patrove-postele
19 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.dekoracesamolepky.cz/cz-detail-984188-dekorace-color-bubliny-orange.html
20 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.hospodynkam.cz/smes-na-duhovy-dort-rainbow-600g/
98 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.uklimu.cz/products/sul-z-mrtveho-more-hruba-jedla/
18 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nalepnazed.cz/nalepnazed-cz/eshop/5-1-Designove-hodiny-na-zed/0/5/333-Hodiny-DECOR-6-silver
10 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.dejmunej.cz/natures-menu-country-hunter-kapsicka-pro-psy-kruti-z-farmy-150-g/
98 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.zbraneostrava.cz/zbrane/eshop/11-1-PYROTECHNIKA/69-2-PYROTECHNIKA-DO-PLYNOVEK
50 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.primarodina.cz/detske-chuvicky-topcom-pujcovna/
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.logopedie-vendy.cz/pomucky/logopedicka-pomucka-smart-mouth/
5 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.kryptodarek.cz/autodoplnky/hobby-podlozka-pod-rz-bitcoin/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.privesyjeseniky.cz/privesy-a-nastavby/prives-ka-2700-r-sklapec/
9 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.batohiro.cz/kolekce/minato/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://lucinela.cz/cz-detail-902271226-drevene-pocitadlo-s-barevnymi-kulickami.html
450 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.keratin-exclusive.cz/hyaluron-exclusive-10ml-baleni-do-kabelky/
28 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://4tattoowork.cz/prstencova-lampa-ring-light-12-35w-led-se-stativem/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.kovarna.amstuning.cz/kovane-haky/331-kovany-zavs-na-kytky.html
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.drzakylcd.cz/stolni-drzak-fiber-mounts-f195s-pro-2-monitory-vyskove-nastavitelny-otocny-do-stran-naklon-obrazovky/
1 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.solarnikosmetika.eu/Bronze-Satisfaction-Total-Bronzer-15-ml-d19.htm
299 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.babytip.cz/detail/multifunkcni-plysova-hraci-deka-sensory-3v1-778017/
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.centrum-zeny.cz/osvetleni/toolight-nastenna-lampa-denver-180979c/
63 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.rybarinamyslivost.cz/obaly-na-pruty/470-obal-na-pruty-2-komory/
14 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://mrazenemaso.eu/hp-karibik-1-kg/
39 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://shop.charlie-rybarskecentrum.cz/holinky-lemigo-grenlander-862-eva/
943 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.primamama.cz/clementoni-soubor-her-disney-princezny-4v1-skladem/
NEJPRODÁVANĚJŠÍ NEJPRODÁVANĚJŠÍ V KATEGORII;;Social Proof;Activity Message;Product Detail;No;https://www.pospartner.cz/pokladni-zasuvka-virtuos-c420c-k-cerna-rj10p10c-s-kabelem-kovove-drzaky-bankovek
80 lidí navštívilo tento web za posledních 7 dní;Periodic popup;Social Proof;Activity Message;Product Detail;No;https://www.pospartner.cz/pokladni-zasuvka-virtuos-c420c-k-cerna-rj10p10c-s-kabelem-kovove-drzaky-bankovek
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby;;Misdirection;Trick Questions;Checkout Process;No;https://www.pospartner.cz/objednavka-2
NEJPRODÁVANĚJŠÍ V KATEGORII NEJPRODÁVANĚJŠÍ;;Social Proof;Activity Message;Product Detail;No;https://www.inpap.eu/toaletni-papir-virgin-401794-2-vrstvy-11-cm-10-ks-bal
Nejprodávanější Nejprodávanější v kategorii;;Social Proof;Activity Message;Product Detail;No;http://www.svickysperky.cz/koule-vlnita-zluta-bon-pari
POSLEDNÍ 3 LAHVE;;Scarcity;Low-stock Message;Product Detail;??;http://www.tichavina.cz/eshop/nemecka-vina/rudesheimer-berg-rottland-erstes-gewachs-2016-detail-vina
právo odvolat souhlas se zpracováním písemně nebo elektronicky na adresu nebo email správce uvedený v čl. III těchto podmínek.;email to cancel;Obstruction;Hard to Cancel;Other page;No;https://bezvatriko.cz/content/29-ochrana-osobnich-udaju
právo odvolat souhlas se zpracováním písemně nebo elektronicky na adresu nebo email správce uvedený v čl. 3. těchto podmínek.;email to cancel;Obstruction;Hard to Cancel;Other page;No;https://www.omat.cz/ochrana-osobnich-udaju/
Tyto webové stránky používají k poskytování služeb, personalizaci reklam a analýze návštěvnosti soubory cookie. Používáním těchto webových stránek souhlasíte s použitím souborů cookie.;;Forced Action;Forced Enrollment;Product Detail;No;https://www.inpap.eu/toaletni-papir-virgin-401794-2-vrstvy-11-cm-10-ks-bal
právo odvolat souhlas se zpracováním písemně nebo elektronicky na adresu nebo email správce uvedený v čl. III těchto podmínek.;email to cancel;Obstruction;Hard to Cancel;Other page;No;https://www.inpap.eu/ochrana-osobnich-udaju
Pro základní funkčnost, zpříjemnění používání webu, analytické účely a v případě udělení souhlasu také pro účely cílení reklamy využíváme soubory cookies. Nastavení vlastních preferencí cookies můžete kdykoli upravit odkazem ve spodní části stránek.;Cookie bar;Forced Action;Forced Enrollment;Product Detail;No;https://www.kefija.cz/kefija/eshop/0/0/5/575-Bialetti-Dama-Glamour-Azzurra-na-3-salky-POSLEDNI-KUS-SKLADEM-AKCE-SLEVA#
Nákupem souhlasíte se zpracováním osobních údajů pro účely vyřízení objednávky a oprávněných zájmů.;Forced sign for newsletter but in a cookie bar;Misdirection;Visual Interference;Product Detail;No;https://www.kefija.cz/kefija/eshop/0/0/5/575-Bialetti-Dama-Glamour-Azzurra-na-3-salky-POSLEDNI-KUS-SKLADEM-AKCE-SLEVA#
