Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page;Domain
1190× byl zobrazen tento web za posledních 24 hod. ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.triko4u.cz/damske-tricko-s-dlouhym-rukavem-interlock;www.triko4u.cz
11:59:39;In the corner of the page;Urgency;Countdown Timer;Product Detail;Yes;https://www.sparkys.cz/epee-czech-miska-keramicka-600-ml-marvel;www.sparkys.cz
122 lidí navštívilo tento web za posledních 7 dní;;Social Proof;Activity Message;Product Detail;??;https://www.lopra.cz/p/7020928-francouzske-povleceni-saten-220x200-70x90cm-sonet-bordo-vyber-zapinani-zipovy-uzaver;www.lopra.cz
122 lidí navštívilo tento web za posledních 7 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.lopra.cz/p/7020928-francouzske-povleceni-saten-220x200-70x90cm-sonet-bordo-vyber-zapinani-zipovy-uzaver;www.lopra.cz
13 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://pluton-elektro.cz/inverto-black-pro-quad-monoblock/;pluton-elektro.cz
14 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://mrazenemaso.eu/hp-karibik-1-kg/;mrazenemaso.eu
14 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://hmfashion.cz/damske-mikiny/2019-cerna-mikina-guess-phylicia-rhineston-logo-vel-xssmlxl-.html;hmfashion.cz
140 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.faunavitalita.cz/endoparazin/;www.faunavitalita.cz
145 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.cukrarskenacini.cz/krabice-na-vino-8-8-34-5-cm-hneda-na-1-lahev-0-75-l/;www.cukrarskenacini.cz
148 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.unibazar.com/sablony-na-zdobeni-kavy-12cm-3ks-nerez/;www.unibazar.com
15 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://leons.cz/blog/;leons.cz
151 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.hillee.cz/produkt/nausnice-se-znamenim-zverokruhu/;www.hillee.cz
159 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.kuppostel.cz/klein-design-eu/eshop/5-1-Patrove-postele;www.kuppostel.cz
16 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.bewoman.cz/toaletni-stolek-emma-3-zrcadla-4-zasuvky-taburet/;www.bewoman.cz
164 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.vino-mosela.cz/bio-vegan-mueller-thurgau-polosuche-p-413.html;www.vino-mosela.cz
167 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.new-you-mode.cz/https/www-new-you-mode-cz/figl-damske-asymetricke-saty-m394-cerna-d148-htm;www.new-you-mode.cz
18 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nalepnazed.cz/nalepnazed-cz/eshop/5-1-Designove-hodiny-na-zed/0/5/333-Hodiny-DECOR-6-silver;www.nalepnazed.cz
18 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nehtyeshop.cz/kosmeticky-stolek-310-pravy-bily/;www.nehtyeshop.cz
183 lidí navštívilo tento web za posledních 7 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.pospartner.cz/eet-reseni-mobilni-tiskarny-cashino-ptp-ii-s-aplikaci-profi-uctenka-a-10-ks-termokotoucku;www.pospartner.cz
19 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.dekoracesamolepky.cz/cz-detail-984188-dekorace-color-bubliny-orange.html;www.dekoracesamolepky.cz
19 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.maxi-truhlarstvi.cz/zahradni-bila-lavice/;www.maxi-truhlarstvi.cz
1944 lidí navštívilo tento web za posledních 30 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.trpajzlik.cz/Detske-body-fandim-SK-Slavia-Praha-d680.htm;www.trpajzlik.cz
197d 08h 49m 34s;The discount remains after the timer is gone;Urgency;Countdown Timer;Product Detail;Yes;https://jaknaauto.cz/Produkty/LETO-C10120/SHERON-Letni-ostrikovac-4-lt-Lady-+-nal---P28041/;jaknaauto.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://lucinela.cz/cz-detail-902271226-drevene-pocitadlo-s-barevnymi-kulickami.html;lucinela.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.centrum-zeny.cz/osvetleni/toolight-nastenna-lampa-denver-180979c/;www.centrum-zeny.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.intimity.cz/eshop/pro-muze/prislusenstvi/724/dvd-julie-gaia-poupetova-cesta-k-zenskemu-orgasmu;www.intimity.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.kovarna.amstuning.cz/kovane-haky/331-kovany-zavs-na-kytky.html;www.kovarna.amstuning.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.krasnevune.cz/saphir-perfect-man-parfemovana-voda-pro-muze/;www.krasnevune.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.latky-eshop.cz/latky/respirator-ffp-2-bez-vydechoveho-ventilku/;www.latky-eshop.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.medicinaintim.cz/zdravotnicke-rukavice/bezprasne-vysetrovaci-rukavice-nitrilove--bile--200-kusu--velikost-s/;www.medicinaintim.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.oopp.cz/pracovni-obuv-vm-bogota-o2-src-fo-celokozena-s-membranou-poloholenova-3876.html;www.oopp.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.prirodni-leciva.cz/Zakazane-zdravi-A-L-Kalcker-SKLADEM-d21893.htm;www.prirodni-leciva.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.privesyjeseniky.cz/privesy-a-nastavby/prives-ka-2700-r-sklapec/;www.privesyjeseniky.cz
2 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.wckomfort.cz/elektronicke-bidety/10-elektronicky-bidet-wc-komfort-yb-770.html;www.wckomfort.cz
20 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.hospodynkam.cz/smes-na-duhovy-dort-rainbow-600g/;www.hospodynkam.cz
22 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.badbadger.cz/myslivecka/myslivecke-tricko-anglicky-springerspanel/;www.badbadger.cz
22 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.emie.cz/kuchynske-roboty/sogo-ss-14565-easycook-pro/;www.emie.cz
2299× byl zobrazen tento web za posledních 24 hod.;;Social Proof;Activity Message;Product Detail;??;https://www.produm.eu/kuchynske-potreby/vareni/prkenka-krajeci/prkenko-krajeci-38x14-cm-drevo___4263095;www.produm.eu
2514 vaperů navštívilo tento web za posledních 7 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.novacig.cz/joyetech-ex-hlava-nahradni-atomizer-pro-radu-exceed;www.novacig.cz
26 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.mywhitesecret.cz/bambusovy-zubni-kartacek/;www.mywhitesecret.cz
274 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.muj-scholl.cz/detska-obuv-scholl/detska-zdravotni-obuv/detske-pantofle-scholl/scholl-air-bag-kid-dark-brown-hneda-fwww.lkbaits.cz;www.muj-scholl.cz
28 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://4tattoowork.cz/prstencova-lampa-ring-light-12-35w-led-se-stativem/;4tattoowork.cz
299 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.babytip.cz/detail/multifunkcni-plysova-hraci-deka-sensory-3v1-778017/;www.babytip.cz
3  uživatelů se dívalo na tento produkt během posledních 24 hodin;;Social Proof;Activity Message;Product Detail;??;https://fitanu.com/cz/d-msk-mikina-iconic-t7-track-jacket-tr-puma-53007801-puma-4063697054776;fitanu.com
3 d 9 h 49 min;;Urgency;Countdown Timer;Product Detail;??;https://www.muziker.cz/poc-joint-vpd-2-0-knee-uranium-black-xl;www.muziker.cz
3 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.hair-cosmetics.cz/babyliss-pro-2191sepe-ultrasonic-cool-mist-profesionalni-ultrazvukova-parni-zehlicka-na-vlasy-265199.html;www.hair-cosmetics.cz
3 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.lumi-latky.cz/panel-teplakovina-modalova-cloudy-sky-by-lycklig-design/;www.lumi-latky.cz
3 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.mandarinka.cz/Nausnice-Motylek-ruzove-ny1074-chirurgicka-ocel-d2664.htm;www.mandarinka.cz
309 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.spokojenydomecek.cz/Stan-teepee-pro-deti-se-zviratky-sedo-ruzovy-d125.htm;www.spokojenydomecek.cz
31 tis. lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.lkbaits.cz/lk-baits-nutrigo-extra-wild-strawberry-100-ml-20-mm/;www.lkbaits.cz
317 lidí navštívilo tento web za posledních 7 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.new-you-mode.cz/https/www-new-you-mode-cz/numoco-damske-saty-a13-91-kvety-d149-htm;www.new-you-mode.cz
32 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nehty-profesional.cz/britva-s-vymennym-ostrim-parker-shavette-31r-barber-razor/;www.nehty-profesional.cz
334 lidí navštívilo tento web za posledních 7 dní;;Social Proof;Activity Message;Product Detail;??;https://obchod.hellstein.cz/sestava-uskladneni-kalu-u2-a-cistirna-odpadnich-vod-stmh5/;obchod.hellstein.cz
338 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.cigareta-shop.cz/serzant-chesecake-s-jahodovo-malinovym-topingem-monkey-shake-vape-12ml/;www.cigareta-shop.cz
34 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://4beautysystem.cz/vodolepky-na-zdobeni-nehtu-velky-list-12-7-x-5-5cm-hot-173/;4beautysystem.cz
355 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.berem.cz/respirator-ffp3-1ks-covid-face-mask/;www.berem.cz
36 návštěvníků si právě prohlíží tento web ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;No;https://www.pasti.cz/ultrazvukovy-plasic-kun-a-hlodavcu-deramax-profi/;www.pasti.cz
37203 kutilů navštívilo tento web za posledních 30 dní;;Social Proof;Activity Message;Product Detail;??;https://www.walteco.cz/trojita-police-rusticline/;www.walteco.cz
38 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nabytek-alfa.cz/rohove-sedaci-soupravy/rohova-sedacka-lora/;www.nabytek-alfa.cz
38 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.pro-trampoline.eu/cz-detail-183778-montaz-trampoliny.html;www.pro-trampoline.eu
389 návštěvníků navštívilo tento web za posledních 24 hod.;;Social Proof;Activity Message;Product Detail;??;https://nakoplast.cz/obchod/nadrz-na-destovou-vodu-ecotank-300-l-viko/;nakoplast.cz
389 návštěvníků navštívilo tento web za posledních 24 hod. ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://nakoplast.cz/obchod/nadrz-na-destovou-vodu-ecotank-300-l-viko/;nakoplast.cz
39 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://shop.charlie-rybarskecentrum.cz/holinky-lemigo-grenlander-862-eva/;shop.charlie-rybarskecentrum.cz
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.drevenebrikety.eu/drevene-pelety/pelety-a1/;www.drevenebrikety.eu
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.jlp-shop.cz/domaci-seno-s-jablkem-a-repou-50l/;www.jlp-shop.cz
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.logopedie-vendy.cz/pomucky/logopedicka-pomucka-smart-mouth/;www.logopedie-vendy.cz
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.mpneu.cz/dunlop_sp_sport_bluresponse/;www.mpneu.cz
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.muj-salter.cz/salter-osobni-vahy/salter-osobni-vahy-digitalni/9069-bk3r-tenka-osobni-vaha-cerna;www.muj-salter.cz
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nejlevnejsi-kamna.cz/krbova-kamna-prity-s-troubou-s-tv-fgw15/;www.nejlevnejsi-kamna.cz
4 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.nezestarni.cz/obchod/ziva-voda-kolagenovy-sprej-na-oblicej-a-telo--s-zivym-kolagenem-kyselinou-hyaluronovou-a-vytazky-ovoce-noni-100-50-ml-zdarma-triple-helix-formula.html;www.nezestarni.cz
449 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.renovality.cz/doplnky-stravy/renohair-maximal-90-tablet-doplnek-stravy/;www.renovality.cz
450 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.keratin-exclusive.cz/hyaluron-exclusive-10ml-baleni-do-kabelky/;www.keratin-exclusive.cz
46 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://armywear.cz/detail-zbozi/vojenska-maceta-taifun-s-nylonovym-pouzdrem-27068.html;armywear.cz
464 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.potreby-rybarske.cz/produkt/mivardi-stojan-tripod-premium-zdarma-2x-sounder-easy-camo-a-2x-swingarm-no-130/;www.potreby-rybarske.cz
47 hospodyněk ? si u nás nakoupilo za posledních 24 hod. ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.hospodynkam.cz/smes-na-duhovy-dort-rainbow-600g/;www.hospodynkam.cz
482 lidí navštívilo tento web za posledních 7 dní;;Social Proof;Activity Message;Product Detail;??;https://www.memoa.cz/pece-o-vlasy/keratinova-maska-na-vlasy-s-kofeinem-vivapharm-200-ml/;www.memoa.cz
482 lidí navštívilo tento web za posledních 7 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.memoa.cz/pece-o-vlasy/keratinova-maska-na-vlasy-s-kofeinem-vivapharm-200-ml/;www.memoa.cz
5 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.activeanimal.cz/zbozi/aa/kloubni-vyziva/14-sada-navazenych-surovin-pro-kloubni-vyzivu-psu-a-kocek---500g/;www.activeanimal.cz
5 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.kryptodarek.cz/autodoplnky/hobby-podlozka-pod-rz-bitcoin/;www.kryptodarek.cz
5 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.prehozydeky.cz/luxusni-spanelska-deka-mikroplys-prehoz-na-postel-220-x-240-2/;www.prehozydeky.cz
5 návštěvníků si právě prohlíží tento web ✓ ověřeno od Notifikuj;Periodic popup;Social Proof;Activity Message;Product Detail;No;https://www.coolboty.cz/boma-ponozky-prstan-a-01-bila-1-par;www.coolboty.cz
50 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.primarodina.cz/detske-chuvicky-topcom-pujcovna/;www.primarodina.cz
511 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.dtbaits.cz/Bivaky-Pristresky-c16_0_1.htm;www.dtbaits.cz
54 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.obchodben.cz/voditko-hkm-multicolor-s-hackovou-karabinou-1-8m/;www.obchodben.cz
56 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://koicentrumpraha.cz/pvc-priruba-foliova-50-mm-foliovy-prostup-zesileny/;koicentrumpraha.cz
59 zákazníků si u nás nakoupilo za posledních 30 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.selles.cz/ecg-vv-3121-professional/;www.selles.cz
6 hodnocení;No information how the data were collected;Social Proof;Activity Message;Product Detail;Yes;https://www.stein.cz/trivrstve-hrnce-stein/hrnec-nerezovy-trivrstvy-indukcni-tepany-24cm-5l/;www.stein.cz
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.abaterie.cz/dalkove-ovladane-zasuvky-geti-3-1-bezdratove/;www.abaterie.cz
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.candlehome.cz/mf-natural-difuzer-250ml-lemon-grass-10-18-03-19-10-19-06-20-04-21/;www.candlehome.cz
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.obalis.cz/papirove-tasky/papirova-taska-hneda-s-kroucenym-uchem-18x8x24-cm/;www.obalis.cz
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.polarshop.cz/polar-vantage-v2-hr-cycling-bundle/;www.polarshop.cz
6 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.rainbowloom-original.cz/galerie;www.rainbowloom-original.cz
6,8 tis. lidem se tohle líbí.;Shows number of likes of their main Facebook website page;Social Proof;Activity Message;Product Detail;Yes;https://eshop.alfafit.cz/muscle-sport-night-extralong-protein-2270-g-doprava-ceskou-postou-nebo-zasilkovna-zdarma/;eshop.alfafit.cz
612 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.enjoythemovement.cz/knizka-taryho-svet-naramek-zdarma/;www.enjoythemovement.cz
62 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;http://www.liliput.cz/parni-stroj-s-kotlem-na-vysku-d3-0354.html;www.liliput.cz
63 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.rybarinamyslivost.cz/obaly-na-pruty/470-obal-na-pruty-2-komory/;www.rybarinamyslivost.cz
638 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.cool-ceny.cz/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-www.enjoythemovement.cz;www.cool-ceny.cz
669 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.samolepky-steny.cz/dekorace-na-zed--citat-before-you,688.html;www.samolepky-steny.cz
673 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.masovegranule.cz/114389-eden-kocka-country-1-5-kg.html;www.masovegranule.cz
68 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.lovecka-optika.cz/puskohled-meopta-meostar-r1r-3-12x56-rd/;www.lovecka-optika.cz
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.b-obchod.cz/papirove-sablony-magic-vyrez-sada-q1-geometrik/;www.b-obchod.cz
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.drvet.cz/audevard/balsamic-control/;www.drvet.cz
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.drzakylcd.cz/stolni-drzak-fiber-mounts-f195s-pro-2-monitory-vyskove-nastavitelny-otocny-do-stran-naklon-obrazovky/;www.drzakylcd.cz
7 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.muj-homedics.cz/homedics-masazni-pristroje/homedics-masazni-pristroje-masaze-nohou/bublinkova-masaz-fs150-homedics;www.muj-homedics.cz
7000 lidí navštívilo tento web za posledních 7 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.coolboty.cz/boma-ponozky-prstan-a-01-bila-1-par;www.coolboty.cz
703 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.haka.cz/eshop/zazimovavi-prostredek-1-l-pro-20m3/;www.haka.cz
7563× byl zobrazen tento web za posledních 7 dní;;Social Proof;Activity Message;Product Detail;??;https://www.clipinhair.cz/9-clip-in-vlasy-k-prodlouzeni-remy-100-lidske-53cm-100g-prirodni-svetlejsi-blond.html;www.clipinhair.cz
7563× byl zobrazen tento web za posledních 7 dní ✓ ověřeno od Notifikuj x;;Social Proof;Activity Message;Product Detail;??;https://www.clipinhair.cz/9-clip-in-vlasy-k-prodlouzeni-remy-100-lidske-53cm-100g-prirodni-svetlejsi-blond.html;www.clipinhair.cz
774 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.quadpoint.cz/Banjo-sroub-POWERHOSEPLUS-110100DC-10x1-00mm-chrom-d1734.htm;www.quadpoint.cz
8 lidem se tohle líbí.;Facebook like counter;Social Proof;Activity Message;Product Detail;No;https://www.polskeknihy.cz/polska-soucasna-literatura/to-nie-jest-raj/;www.polskeknihy.cz
